id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
65448	peng y.	-0.7859	0.3054	1	17	22	20	86	23.2154	2016.15	4.3	1.1608
65754	perrouin g.	1.2996	-0.2943	2	6	29	23	370	58.5305	2016.3043	16.087	2.5448
65966	petrenko a.	0.6924	0.9029	11	4	15	37	632	61.0217	2011.2162	17.0811	1.6492
66105	pezzè m.	0.9295	-0.362	3	8	27	30	759	79.5252	2011.2333	25.3	2.6508
66154	pham h.	-0.0575	0.9927	7	5	11	23	930	93.3467	2009.6957	40.4348	4.0586
66417	pietrantuono r.	0.7824	-1.5048	14	3	34	27	252	41.9927	2015.7407	9.3333	1.5553
66940	podgurski a.	0.2162	1.2032	5	4	10	23	1072	94.2845	2006.2609	46.6087	4.0993
67418	poshyvanyk d.	0.3752	-0.0874	8	5	19	23	494	92.1124	2016.7826	21.4783	4.0049
68622	qi y.	0.2139	0.2722	5	23	36	22	384	37.1371	2013.3182	17.4545	1.688
68635	qian j.	-0.3987	-0.6366	4	29	51	22	44	8.3331	2015.8182	2	0.3788
69661	ramler r.	0.6991	-0.5047	8	5	20	47	348	49.9163	2014.4468	7.4043	1.062
70808	ren j.	-0.8463	-0.1569	4	25	30	21	135	21.678	2014.5238	6.4286	1.0323
71147	ricca f.	1.1397	-0.3522	3	3	12	20	424	54.2001	2014.2	21.2	2.71
71228	richardson d.j.	0.2331	1.2441	5	1	1	25	515	64.0535	1999.92	20.6	2.5621
72180	rojas j.m.	0.9813	-0.2308	3	5	28	20	293	56.1871	2016.2	14.65	2.8094
72697	rothermel g.	0.2529	0.34	5	22	84	65	3971	324.9053	2008.6769	61.0923	4.9985
72849	roychoudhury a.	-1.0604	-0.4277	4	2	4	24	539	104.3448	2015.75	22.4583	4.3477
73154	runeson p.	0.6294	-0.4385	2	3	13	26	1029	95.0786	2011.3846	39.5769	3.6569
73239	russo s.	0.837	-1.4921	14	3	35	29	285	44.7862	2015.4138	9.8276	1.5444
75648	schieferdecker i.	0.8515	-0.8295	2	1	1	27	220	24.7331	2009.8148	8.1481	0.916
76589	segura s.	0.5121	-0.4345	3	9	20	32	477	97.175	2016.8438	14.9062	3.0367
76832	sen k.	0.8118	0.1538	8	10	20	42	3763	320.5005	2011.8333	89.5952	7.631
77644	sharma a.	0.2982	0.911	7	3	9	32	206	39.262	2015.375	6.4375	1.2269
77668	sharma s.	0.1199	0.9126	7	3	3	22	145	21.9884	2016.3182	6.5909	0.9995
78062	shi a.	0.5568	-0.094	8	11	32	21	262	48.8568	2017.5238	12.4762	2.3265
78107	shi y.	-0.8744	-0.4281	4	22	25	23	207	25.6996	2014.3043	9	1.1174
78485	shrivastava a.k.	0.0735	1.1943	7	3	25	22	87	24.2456	2016.8636	3.9545	1.1021
79011	simao a.	0.7816	0.9203	11	7	20	23	116	17.3913	2015	5.0435	0.7561
79091	simos d.e.	1.0812	0.2825	3	6	17	20	83	18.5739	2017.2	4.15	0.9287
79180	singh a.	0.0937	0.9393	7	3	3	27	110	23.1271	2016.1852	4.0741	0.8566
79261	sinha s.	0.4275	0.5984	5	7	19	21	327	32.5487	2011.2857	15.5714	1.5499
79797	smith m.	0.3913	-0.2879	5	8	12	21	191	20.4731	2008.5238	9.0952	0.9749
79857	smolander k.	0.8801	-1.0662	2	2	20	21	353	29.4457	2010.3333	16.8095	1.4022
80304	song j.	-0.1232	0.4621	5	32	39	24	100	25.2995	2015.0833	4.1667	1.0541
80333	song x.	-0.7075	0.2739	1	28	34	25	68	15.0894	2014.64	2.72	0.6036
80336	song y.	-0.7631	-0.0489	15	32	40	31	76	19.8116	2015.871	2.4516	0.6391
81011	srivastava p.r.	0.4645	1.0926	7	1	2	39	354	35.2077	2011.0513	9.0769	0.9028
82257	su z.	-0.0925	-0.4248	10	27	34	34	848	108.6822	2013.7059	24.9412	3.1965
82633	sun h.	-0.2962	-0.2744	1	45	56	32	78	13.7959	2015.2188	2.4375	0.4311
82638	sun j.	-0.7816	0.0746	1	72	127	69	383	95.51	2015.3333	5.5507	1.3842
82647	sun l.	-0.3471	-0.3128	9	30	36	26	88	21.7853	2013.9615	3.3846	0.8379
82670	sun w.	-0.212	0.0136	5	38	50	29	104	18.1771	2015.5172	3.5862	0.6268
82673	sun x.	-0.6265	-0.3868	1	39	50	29	113	18.6234	2014.8621	3.8966	0.6422
82680	sun y.	-0.6206	0.1208	1	37	45	45	277	52.5475	2015.6889	6.1556	1.1677
82726	sundmark d.	1.1066	-0.7782	2	5	32	38	347	50.8466	2014.5263	9.1316	1.3381
82838	suri b.	0.3792	0.7592	7	4	6	21	110	16.1291	2015.5238	5.2381	0.7681
83570	taipale o.	0.9077	-1.1115	2	1	19	22	344	30.053	2011	15.6364	1.366
83607	takagi t.	0.8309	1.1281	11	2	15	23	53	5.5716	2012.7826	2.3043	0.2422
83853	tan l.	-0.709	0.5367	1	17	27	23	407	75.9915	2015.1304	17.6957	3.304
83932	tang c.	-0.5211	0.6143	10	16	39	20	158	21.0711	2016.3	7.9	1.0536
83988	tang y.	-0.5739	0.3688	1	36	46	26	228	53.8139	2016.3462	8.7692	2.0698
85083	tian j.	-0.5752	0.2205	1	25	31	31	189	28.5823	2013.6129	6.0968	0.922
85097	tian y.	-0.638	0.31	4	36	41	20	29	8.1095	2015.6	1.45	0.4055
85199	tillmann n.	0.6001	0.422	8	16	58	33	1488	134.1953	2010.7879	45.0909	4.0665
85605	tonella p.	1.1038	-0.2758	3	13	45	40	953	100.4784	2011.95	23.825	2.512
85714	torkar r.	0.8144	-0.5062	2	7	34	32	636	72.1359	2013.0312	19.875	2.2542
85771	torres-jimenez j.	1.1016	0.4004	3	1	1	30	263	30.6611	2013.5333	8.7667	1.022
85880	towey d.	-0.2151	-0.8321	12	28	115	41	511	103.3071	2014.3171	12.4634	2.5197
86367	tsai w.t.	0.0449	-0.1036	6	23	58	40	952	86.869	2006.825	23.8	2.1717
86411	tse t.h.	-0.6117	-0.9393	12	18	104	63	1830	169.439	2008.6667	29.0476	2.6895
86493	tsuchiya t.	-1.1627	-0.6935	15	2	11	25	206	35.4354	2011.88	8.24	1.4174
86823	tuya j.	0.6869	-1.1662	14	1	5	37	499	48.8607	2012.5135	13.4865	1.3206
87230	ur s.	0.7581	0.4403	5	3	11	22	228	20.384	2007.4091	10.3636	0.9265
87813	van deursen a.	1.2655	-0.5367	2	6	24	24	546	66.4559	2013.6667	22.75	2.769
88683	vergilio s.r.	1.0021	0.7673	11	2	5	40	240	42.0583	2014.05	6	1.0515
89034	vilkomir s.	0.945	0.0824	3	4	4	20	410	43.2652	2013.45	20.5	2.1633
89123	vincenzi a.m.r.	0.8489	0.5421	11	5	28	24	265	22.3413	2011.6667	11.0417	0.9309
89236	visser w.	0.7427	0.1393	8	10	14	21	1267	120.7604	2007.7619	60.3333	5.7505
89554	vos t.e.j.	1.1041	-0.1938	3	5	7	28	183	25.4052	2014.2857	6.5357	0.9073
90154	wang b.	-0.6856	0.1348	1	43	52	43	160	25.9084	2014.4651	3.7209	0.6025
90160	wang c.	-0.0585	0.169	1	83	129	85	653	108.7458	2015.0235	7.6824	1.2794
90180	wang d.	-0.3428	-0.3882	12	64	87	61	316	85.954	2014.6557	5.1803	1.4091
90186	wang f.	-0.467	0.304	13	45	56	50	134	23.2214	2014.04	2.68	0.4644
90192	wang g.	-0.5663	-0.5016	4	55	78	60	184	38.8723	2015.4	3.0667	0.6479
90205	wang h.	-0.5085	0.2475	1	151	258	143	746	123.019	2014.9161	5.2168	0.8603
90223	wang j.	-0.5722	0.284	1	138	309	192	625	170.3452	2014.8281	3.2552	0.8872
90246	wang k.	-0.0699	0.3141	8	22	36	26	138	35.4824	2017.0769	5.3077	1.3647
90251	wang l.	-0.4849	-0.0305	1	111	193	131	741	116.5171	2014.6183	5.6565	0.8894
90271	wang m.	-0.6791	-0.2092	1	42	59	37	218	89.1657	2015.7297	5.8919	2.4099
90282	wang p.	-0.7116	-0.3711	1	39	43	38	89	19.9759	2015.2368	2.3421	0.5257
90287	wang q.	-0.2686	0.3896	10	82	135	86	275	45.6385	2013.8953	3.1977	0.5307
90294	wang r.	-0.1173	-0.4945	4	51	96	51	142	27.9499	2015.4118	2.7843	0.548
90301	wang s.	-0.4051	-0.0184	1	91	163	100	1015	203.6519	2015.34	10.15	2.0365
90319	wang t.	-0.79	-0.3526	4	44	57	49	151	26.7802	2013.6327	3.0816	0.5465
90326	wang w.	-0.1148	0.0432	9	87	134	82	316	58.0949	2014.5366	3.8537	0.7085
90340	wang x.	-0.3779	0.3106	1	130	271	186	871	196.6895	2015.6774	4.6828	1.0575
90364	wang y.	-0.3533	-0.1343	6	182	405	236	1074	269.1607	2015.1653	4.5508	1.1405
90391	wang z.	-0.4483	0.023	1	147	313	159	842	126.8005	2014.6981	5.2956	0.7975
90762	wegener j.	1.0826	-0.1547	3	4	9	21	550	46.1888	2007.5238	26.1905	2.1995
90864	weimer w.	0.9984	0.0043	3	3	5	21	876	105.1722	2013.0952	41.7143	5.0082
91265	weyuker e.j.	1.1372	-0.8676	2	4	29	52	3018	276.6743	2000.6538	58.0385	5.3207
91787	williams l.	-0.7228	0.7531	13	1	3	43	1255	121.8682	2010.1163	29.186	2.8341
92334	wong w.e.	0.4376	0.4716	11	39	78	54	1410	156.6229	2009.9444	26.1111	2.9004
92506	wotawa f.	1.061	0.1553	3	10	37	84	917	128.1258	2013.5	10.9167	1.5253
